Object,Count,Key,Rank,Learning Objective,Name,Type,Status,Descriptiion,
Syllibus,1,S1,1,Etiquette,Do Jahng Etiquette,Standard,Untrained,Customs/Courtesies,
Syllibus,2,S2,1,Etiquette,Bowing,Standard,Untrained,Types/occasions involving bowing,
Syllibus,3,S3,1,Etiquette,Uniforms,Standard,Untrained,Proper way to wear the uniform,
Syllibus,4,S4,2,Etiquette,Hwarang Do Sesok O-Gye,Standard,Untrained,Code Of Ethics,
Syllibus,5,S5,2,Etiquette,Kuk Sool Won Creed,Standard,Untrained,Student Oath,
Syllibus,6,S6,3,Etiquette,Handling Weapons,Standard,Untrained,Handling Weapons,
Syllibus,7,S7,3,Etiquette,Sparring,Standard,Untrained,Sparring,
Syllibus,8,S8,4,Etiquette,Teaching Others,Standard,Untrained,Teaching Others,
Syllibus,9,S9,3,Foundation,Stances,Standard,Untrained,Foundations of  a Mmatial Arts Stance,
Syllibus,10,S10,3,Foundation,History of Kuk Sool Weapons,Theory,Untrained,History of Kuk Sool Weapons,
Syllibus,11,S11,4,Foundation,Modern History of Kuk Sool Won,Theory,Untrained,Modern History of Kuk Sool Won,
Syllibus,12,S12,4,Foundation,Basic Pressure Points,Theory,Untrained,Basic Pressure Points,
Syllibus,13,S13,4,Foundation,Blocking,Theory,Untrained,Blocking,
Syllibus,14,S14,5,Foundation,Locating the Target,Theory,Untrained,Locating the Target,
Syllibus,15,S15,7,Foundation,Sah Doh Mu Sool,Theory,Untrained,History of Tribal/Family Martial Arts In Korea,
Syllibus,16,S16,8,Foundation,Bool Kyo MU Sool,Theory,Untrained,History of Buddhist Temple,
Syllibus,17,S17,9,Foundation,Koong Joong Mu Sool,Theory,Untrained, History of the Korean Royal Palace,
Syllibus,18,S18,1,Foundation,Five Principles of a Warrior,Theory,Untrained,Moral Character,
Syllibus,19,S19,1,Foundation,Forms,Theory,Untrained,Purpose/Execution of forms,
Syllibus,20,S20,1,Foundation,Basic Techniques,Theory,Untrained,"What is a ""Technique""?",
Syllibus,21,S21,2,Foundation,You-Won-Hwa,Theory,Untrained,Water,
Syllibus,22,S22,3,Foundation,History of Kuk Sool Weapons,Theory,Untrained,History of Kuk Sool Weapons,
Syllibus,23,S23,3,Foundation,What is Ki,Theory,Untrained,What is Ki,
Syllibus,24,S24,3,Foundation,Breathing,Theory,Untrained,Breathing,
Syllibus,25,S25,1,Jah Se 1,Cha Ryuht,Stance,Untrained,Attention,
Syllibus,26,S26,1,Jah Se 2,Kong Kyuk Jah Se,Stance,Untrained,Left Fighting Stance,
Syllibus,27,S27,1,Jah Se 3,Bahng Uh Jah Se,Stance,Untrained,Right Fighting Stance,
Syllibus,28,S28,1,Jah Se 4,Ki Mah Jah Se,Stance,Untrained,Horse Stance,
Syllibus,29,S29,1,Jah Se 5,Juhn Guhl Jah se,Stance,Untrained,Front Stance,
Syllibus,30,S30,1,Jah Se 6,Crane  Stance,Stance,Untrained,Front Stance,
Syllibus,31,S31,2,Jah Se 7,Dragon Stance,Stance,Untrained,Dragon Stance,
Syllibus,32,S32,2,Jah Se 8,Cat Stance,Stance,Untrained,Cat Stance,
Syllibus,33,S33,1,Learning Korean,Count to 10,Terminology,Untrained,Counting in Korean,
Syllibus,34,S34,2,Learning Korean,Names of Ranks,Terminology,Untrained,Names and Titles,
Syllibus,35,S35,2,Learning Korean,Names of Foots Attacks,Terminology,Untrained,Names of Foots Attacks,
Syllibus,36,S36,3,Learning Korean,Commands and Terminology,Terminology,Untrained,Commands and Terminology,
